road_id,road_admin,name,road_surface,road_class,portion,length
573669,State,S68,Paved,4,0.019187978997686806,1.8395338737514841
573071,State,S10,Paved,4,0.006553500548966978,0.7255344095866448
573071,State,S10,Paved,4,0.006553500548966978,0.7255344095866448
573071,State,S10,Paved,4,0.006553500548966978,0.7255344095866448
573071,State,S10,Paved,4,0.003917142685980618,0.4336646933504228
573071,State,S10,Paved,4,0.003919082070033535,0.4338794014828601
570643,State,I15,Paved,1,0.003410799174012319,2.205589594763697
574898,State,I215,Paved,1,0.02533509906020439,1.182580941080466
571112,State,I80,Paved,1,0.024463976730481268,7.632681534736301
574725,State,S186,Paved,4,0.012081561603932423,0.200904624365637
573609,State,S201,Paved,3,0.07435096875292356,2.0847616642415354
574551,State,S71,Paved,3,0.04336769780371749,1.5699082289790918
563380,State,U89,Paved,3,0.0031121569172650014,2.3355807296251867
570643,State,I15,Paved,1,0.005165730844407746,3.3404142602664013
573090,State,S271,Paved,5,0.30493843038325597,2.68169331216258
570643,State,I15,Paved,1,0.004472728962426297,2.8922853432384583
573288,State,S125,Paved,5,0.029650721474093485,1.0439383660405102
573302,State,S132,Paved,5,0.1481025284550902,15.059537459829935
573077,State,S257,Paved,4,0.17760847428771961,19.830816840875336
576077,State,U6,Paved,3,0.05780846807716463,27.81563809681315
573311,State,S62,Paved,5,0.015377062831569047,1.06151375302948
576047,State,I70,Paved,1,0.0037601835255415775,1.402093158284948
573313,State,S119,Paved,5,0.3743054174117926,5.268488883898722
573054,State,S24,Paved,4,0.013587352641611254,3.3267294280073245
573427,State,U50,Paved,3,0.01989262809839875,1.9428451620423741
563380,State,U89,Paved,3,0.03661772458809097,27.480507630003054
573051,State,S16,Paved,4,0.09685816672058943,4.523528128372677
575198,State,S39,Paved,5,0.0132177501180754,1.3677968377728595
570643,State,I15,Paved,1,0.0005160775337593038,0.3337209787147439
574898,State,I215,Paved,1,0.011855656443904622,0.5533932715732712
