railroad_id,railroad_type,portion,length_mile
74057,AC; OVERHEAD,0.0056531112108661906,0.010501684759643385
74453,AC; OVERHEAD,0.022777940684366674,0.11379191150964366
74457,AC; OVERHEAD,0.01366815540735901,0.053746613895534784
74469,AC; OVERHEAD,0.12160259519603654,0.16666395339032294
75128,AC; OVERHEAD,0.3602986921351678,0.022898142227944736
79994,AC; OVERHEAD,0.13117597066657818,0.4189239672864419
74411,AC; OVERHEAD,0.732335782224435,0.7550779513753566
74470,AC; OVERHEAD,0.1970012805107359,1.2676547112309184
74807,AC; OVERHEAD,0.6245995065960916,0.08921813072500799
74968,AC; OVERHEAD,0.2898990281184706,0.02465184749505731
75263,AC; OVERHEAD,0.1423650543433251,0.2214736626579279
75276,AC; OVERHEAD,0.22803626303857716,1.2405005909846247
77472,AC; OVERHEAD,0.0006127998962634526,0.1370405781461827
77473,AC; OVERHEAD,0.005758976113734397,0.16713934981158393
94500,OVERHEAD,0.07673983326516554,0.4970703016102915
94501,OVERHEAD,0.07640384748588586,0.49066567789519266
74052,AC; OVERHEAD,0.392605258468695,0.7029685009393808
74056,AC; OVERHEAD,0.004395293859290951,0.00800644854447642
74057,AC; OVERHEAD,0.0056531362941543446,0.01050173135642436
74453,AC; OVERHEAD,0.022777708108954756,0.11379074963109376
74457,AC; OVERHEAD,0.06504788406364359,0.2557845887242284
74469,AC; OVERHEAD,0.12160197524087372,0.1666631037030429
75128,AC; OVERHEAD,0.36029907869532485,0.022898166795087636
79994,AC; OVERHEAD,0.13117590689223427,0.4189237636165088
74411,AC; OVERHEAD,0.37002117316323274,0.3815119186842837
74470,AC; OVERHEAD,0.11589228404072315,0.7457382991555137
75263,AC; OVERHEAD,0.19458404536619106,0.3027094073108629
75276,AC; OVERHEAD,0.03946679626782195,0.21469648485785148
75286,AC; OVERHEAD,0.011448676111055418,0.031571209659142375
77472,AC; OVERHEAD,0.0002503025676209852,0.05597521929655645
77473,AC; OVERHEAD,0.0032968135763124288,0.09568146606490256
94500,OVERHEAD,0.07628651176465458,0.49413398229087363
94501,OVERHEAD,0.07587479636793444,0.48726811044312424
74052,AC; OVERHEAD,0.21896359207404345,0.3920592115371929
74453,AC; OVERHEAD,0.01841681701632852,0.09200501666288469
74457,AC; OVERHEAD,0.021068893864974375,0.08284817299904994
79994,AC; OVERHEAD,0.1195194852523247,0.3816977810456124
68356,AC; OVERHEAD,0.029346843527926585,2.1963874110584385
68357,AC; OVERHEAD,0.025582298613626257,1.9114837822069726
74440,AC; OVERHEAD,0.016858758748638646,0.472430845888479
74316,AC; OVERHEAD,0.0050653883197544864,0.2428177746938169
