road_id,road_type,name,portion,length
4016,586,State Rte 67,0.007849606282383449,0.14413277878601313
14633,0,Legacy Pkwy,0.007849606282383449,0.14413277878601313
8927,344,I- 15,0.036994550864985154,1.5178157504604763
8876,344,I- 15,0.07013503351846656,1.5000701237042853
8927,344,I- 15,0.06655671076986004,2.7306946980927083
9398,640,US Hwy 89,0.2151331320128514,2.7306946980927087
9412,640,US Hwy 89,0.3058804387379714,2.7242582741200447
8876,344,I- 15,0.127371342412013,2.724258274120045
8927,344,I- 15,0.006989099806355057,0.2867494136188164
9398,640,US Hwy 89,0.0225910642803651,0.2867494136188164
9412,640,US Hwy 89,0.10667581485638292,0.9500851786078046
8876,344,I- 15,0.04442076059918418,0.9500851786078045
9411,640,US Hwy 89,0.24907674807338767,0.8293981709198606
9398,640,US Hwy 89,0.061770985648003415,0.7840619500435081
8927,344,I- 15,0.016685631132893963,0.6845795704429158
9398,640,US Hwy 89,0.01945333126558133,0.24692202474879954
9412,640,US Hwy 89,0.027629517338084754,0.2460763477676965
14637,0,Legacy Pkwy,0.1642098392012052,2.9912373635832
4012,586,State Rte 67,0.1671310989942278,2.9912373635832
8876,344,I- 15,0.03423771391294668,0.7322869779654848
4016,586,State Rte 67,0.16036988315245018,2.9446772310384444
14633,0,Legacy Pkwy,0.16036988315245018,2.9446772310384444
8877,344,I- 15,0.0024267617837420374,0.047697440519659594
8877,344,I- 15,0.08148285770555393,1.6015266866406526
8877,344,I- 15,0.009077535979529315,0.17841686619154962
8877,344,I- 15,0.0031359259726326956,0.06163589832169675
8927,344,I- 15,0.0013294837724064262,0.054546179438821375
8881,344,I- 15,0.0002986958186250766,0.02842556181884719
8886,344,I- 15,0.00032615726213717095,0.031065175506756533
8881,344,I- 15,0.0033201344222739404,0.31596252904260486
8886,344,I- 15,0.003677467513541449,0.35026408113676955
8881,344,I- 15,0.002654695406321826,0.2526356369163967
8886,344,I- 15,0.0033507834842825776,0.3191487331672581
8881,344,I- 15,0.0015542257249174332,0.14790879774429502
8886,344,I- 15,0.0133562527292175,1.2721296850083268
3029,344,I- 84,0.011257402055634757,0.3844383683184197
2964,344,I- 84,0.04194256375609546,1.4331398975699317
3029,344,I- 84,0.002957968513391263,0.101014122370819
2964,344,I- 84,0.0214530621019973,0.7330319482187025
3029,344,I- 84,0.04443530611859456,1.5174581573562502
2964,344,I- 84,0.045681270016492734,1.5608881472531935
4707,344,I- 215,0.012834472950917693,0.5391568708677793
4708,344,I- 215,0.013304211483661444,0.5546350689516948
16963,0,Belt Rte,0.013304211483661444,0.5546350689516948
16969,0,Belt Rte,0.025922784425091012,0.5391568708677794
8926,344,I- 15,0.007770170120919782,0.33032739186858234
8905,344,I- 15,0.007923756071412448,0.3367256157751925
12727,586,State Rte 201,0.07184129007603449,0.9133967470150812
5307,344,I- 80,0.25216674895290275,15.168534021390741
5305,344,I- 80,0.2512695595453619,15.103294341667388
13133,0,Dwight D Eisenhower Hwy,0.2512695595453619,15.103294341667388
4707,344,I- 215,0.008300679486817269,0.3486990385428148
4708,344,I- 215,0.003283972933480297,0.13690451002174503
16963,0,Belt Rte,0.003283972933480297,0.13690451002174503
13134,0,Dwight D Eisenhower Hwy,0.36708415362677854,15.168534021390741
16969,0,Belt Rte,0.016765528724196926,0.34869903854281475
4707,344,I- 215,0.005958259950148423,0.2502975231491012
4708,344,I- 215,0.0060614782069309415,0.2526950497877315
16963,0,Belt Rte,0.0060614782069309415,0.2526950497877315
16969,0,Belt Rte,0.012034361584384905,0.2502975231491012
4707,344,I- 215,0.017884001481909204,0.7512799562907997
4708,344,I- 215,0.01834038588862284,0.7645865524934911
16963,0,Belt Rte,0.01834038588862284,0.7645865524934911
16969,0,Belt Rte,0.036121710400300606,0.7512799562907997
8926,344,I- 15,0.01925717334389562,0.8186657108476838
8905,344,I- 15,0.019222619459657298,0.8168788029351216
8926,344,I- 15,0.013729847757620029,0.5836866799501249
8905,344,I- 15,0.013598137233283554,0.5778624546246003
8926,344,I- 15,0.008298052708988953,0.352768866870559
8905,344,I- 15,0.00820563329346098,0.3487041875928852
8926,344,I- 15,0.013314924509252942,0.5660473603051497
8905,344,I- 15,0.013166690337156157,0.5595278137720209
8926,344,I- 15,0.0044693129042018154,0.1900005343660128
8905,344,I- 15,0.004352488985444474,0.18496209633031827
9393,640,US Hwy 89,0.021115844261624557,1.1417273981111442
9408,640,US Hwy 89,0.01750950869784952,0.9461960359841235
1646,344,I- 70,0.008119153635528823,1.1417273981111442
1541,344,I- 70,0.006729388290608851,0.9461960359841235
1646,344,I- 70,0.002611164257367264,0.36718578160155335
1541,344,I- 70,0.002638641880834526,0.37101031775971877
9393,640,US Hwy 89,0.006790971112901778,0.36718578160155335
9408,640,US Hwy 89,0.006865605158712282,0.37101031775971877
5293,344,I- 80,0.03848176313820538,6.303038034269841
13150,0,Dwight D Eisenhower Hwy,0.03848176313820538,6.303038034269841
5375,344,I- 80,0.03850758414550787,6.3107655536800795
13135,0,Dwight D Eisenhower Hwy,0.03850758414550788,6.310765553680081
8895,344,I- 15,0.030386282586594482,2.169571621982257
8896,344,I- 15,0.030748550212911955,2.195928717850728
8895,344,I- 15,0.04589525737704922,3.276907851595722
8896,344,I- 15,0.047049123112709486,3.3600452664434384
8895,344,I- 15,0.027585025996068147,1.9695627269363745
