dam_id,dam_num,name,area_m2,intersect_count,intersect_mile,voltage
76,UT00286,SPECTACLE LAKE,4884252.59891901,1,0.47242916331658724,46.0
70,UT00289,SPINNERS,4874827.21911391,0,,0.0
22,UT00246,PINE LAKE,4783204.80791157,1,0.9786601237787742,230.0
100,UT00564,DAVIS - STONE CREEK,4737291.12622036,16,8.368353769441216,230.0
170,UT00088,DEER VALLEY,4673885.80370226,4,1.0894006584296738,138.0
234,UT00056,BRUSH,4608000.58265845,0,,0.0
171,UT00156,JONES,4604383.37432669,4,1.1128585564062412,138.0
185,UT00238,PANGUICH LAKE,4424471.69289779,2,0.3296586052829077,115.0
172,UT00176,LINDSAY (BENNETT) LOWER,4403669.61132953,4,1.1203223173888641,138.0
78,UT00285,SOUTH JUNCTION,4275926.23209802,1,0.24281740757269382,138.0
190,UT00647,SALT LAKE CO - ROTARY GLEN PARK,4211449.08276286,3,2.219283748108449,138.0
74,UT00312,VERNON,4187916.18550697,0,,0.0
48,UT00061,CALDER (ZELPH),4068635.49556672,0,,0.0
219,UT00865,RIVERTON CITY - 3200 WEST POND,3951198.06690449,3,0.41008875756380503,69.0
139,UT00828,DAIRY DAM,3938147.05920343,2,0.9429920251387138,138.0
13,UT00365,LONG PARK (DAGGETT),3909607.58105664,0,,0.0
132,UT00531,SALT LAKE CO - CREEKSIDE PARK,3906689.81355281,3,1.41915378910595,138.0
188,UT00645,SALT LAKE CO - SCOTT AVE,3743717.18279995,1,0.6893751174630806,46.0
224,UT00207,MILL HOLLOW,3731355.4320974,0,,0.0
94,UT00692,DAVIS - FARMINGTON POND,3698297.72290603,6,3.153466002965697,230.0
186,UT00539,SALT LAKE CO - SUGARHOUSE,3657220.54711844,6,3.520860260066657,138.0
162,UT00470,PROVO - SLATE CANYON #2,3359271.2102181,8,1.2272056449256472,115.0
52,UT00234,OAKS PARK,3354089.66543323,1,0.15726942310618583,138.0
173,UT00650,WASATCH CO - LAKE CREEK,3143537.3483852,1,0.7376670244260913,69.0
93,UT00152,DAVIS - BARTON CREEK,3124641.29980246,9,3.331986742825384,230.0
72,UT00124,GRASS VALLEY,3030515.65335227,4,0.5563083158670594,138.0
151,UT00034,BIG EAST,2994975.89139342,6,0.6648489204335302,115.0
204,UT00321,WHITE PINE,2987596.14657713,12,1.263346608665303,138.0
91,UT00126,GRASSY TRAIL,2934684.05840651,0,,0.0
152,UT00652,BOX LAKE (PAYSON),2915505.63947535,6,0.6648489204335302,115.0
156,UT00200,MCCLELLAN LAKE,2904476.23294574,6,0.6648489204335302,115.0
88,UT00196,MANTUA,2837642.62388547,7,1.145881800426714,345.0
166,UT00244,WINWARD (PETE),2798486.30574672,6,0.6648489204335302,115.0
231,UT00093,DRY LAKE,2789584.30024314,6,0.6648489204335302,115.0
233,UT00521,RED LAKE,2760158.68826669,6,0.6648489204335302,115.0
5,UT00431,MINERSVILLE - BIG WASH DEBRIS,2755141.02929916,0,,0.0
155,UT00197,MAPLE LAKE,2669833.52245084,6,0.6648489204335302,115.0
40,UT00257,REX,2613712.95877681,0,,0.0
108,UT00142,HOLMES,2573360.83277793,1,0.028966387095888772,69.0
130,UT00256,RED PINE,2517943.99154075,11,1.1982075724138515,138.0
51,UT00216,MONTES CREEK,2495427.04347403,0,,0.0
